,day,wdsp,total_num_of_crimes
1383,3,12.2,0.618803419
832,4,4.2,0.706349206
1262,3,5.5,0.627865961
1957,5,8.2,0.665975104
1687,2,3,0.726141079
759,4,7.8,0.61025641
886,6,12.8,0.736111111
2105,7,3.3,0.622857143
592,6,12.2,0.597222222
438,3,9.9,0.598019802
776,6,6.6,0.613756614
1436,4,7.3,0.670194004
542,2,17.1,0.78659612
1316,5,9.3,0.62962963
1531,4,6.3,0.825726141
527,3,9.9,0.626666667
997,6,9.5,0.7406639
1964,1,12.4,0.532627866
1725,4,9.5,0.67008547
1923,2,12,0.54017094
1583,4,5.9,0.647619048
799,1,7.8,0.782157676
848,4,8.3,0.687830688
488,7,9.8,0.537918871
1251,2,6.8,0.673504274
1002,6,9,0.706930693
1408,2,8.5,0.712301587
583,7,7.3,0.699170124
557,1,6.5,0.620952381
2164,2,13.2,0.593253968
1811,7,7.6,0.632380952
1927,7,6.2,0.68879668
1140,1,7.3,0.752475248
1062,2,9.7,0.762376238
1269,5,9.9,0.668376068
1828,2,9.5,0.863095238
179,2,6.8,0.588118812
311,3,10.2,0.62970297
1789,5,3.8,0.695020747
930,1,9.6,0.730693069
1141,2,5.5,0.72406639
1018,7,6.7,0.714285714
183,7,7.6,0.613095238
1242,4,8.9,0.724752475
1633,7,9,0.676348548
1642,6,6.2,0.76984127
413,5,12.1,0.588571429
281,5,10.6,0.621782178
247,2,5.1,0.476190476
945,7,9.3,0.547008547
1815,5,4.5,0.622222222
463,1,6.1,0.67219917
1577,3,7.3,0.761904762
279,2,3.6,0.569444444
2108,4,4.6,0.580246914
1058,4,6,0.712522046
565,4,8.5,0.641078838
1672,4,3.5,0.682539683
480,3,13,0.60990099
615,1,10.5,0.625641026
90,2,10.9,0.657676349
1486,1,8.1,0.75
1667,4,4.4,0.592380952
410,1,13,0.705467372
1592,2,5.1,0.689594356
1526,5,9.9,0.647266314
1371,1,6.9,0.629059829
1167,2,9.3,0.58974359
956,1,7.3,0.701940035
1931,6,12.2,0.611428571
1105,3,6,0.753112033
543,3,8.5,0.753846154
322,4,11.5,0.603809524
1393,2,4.6,0.686721992
950,7,13.9,0.610229277
1182,1,4.7,0.77029703
496,4,9.4,0.656746032
1343,6,8.4,0.72952381
299,1,8.9,0.617821782
404,7,7.9,0.507936508
1166,1,6.7,0.684303351
1489,4,4.4,0.649377593
1156,2,12.1,0.722222222
2053,7,10.1,0.622406639
825,1,12.9,0.634188034
1587,2,4.8,0.603418803
1163,4,8.5,0.693333333
2043,1,4.4,0.591452991
1801,7,12.2,0.657676349
895,3,7.1,0.755186722
1545,2,10.2,0.683760684
1157,3,8.2,0.60952381
878,2,8.3,0.631393298
1521,5,7.2,0.553846154
860,6,4.1,0.64021164
1433,7,7.4,0.598095238
13,5,8.7,0.48324515
226,2,6.8,0.617142857
104,7,10.9,0.548717949
2176,4,13.4,0.626984127
1302,7,11.4,0.794059406
478,1,4.8,0.638888889
1455,1,2.3,0.622222222
629,6,13.8,0.704761905
374,2,5.7,0.585537919
309,7,9.3,0.589285714
1615,4,9.3,0.668049793
1661,3,9.2,0.624761905
1692,2,8,0.710891089
1392,1,9.2,0.691089109
2117,2,11.1,0.704761905
2084,7,7.3,0.57319224
859,4,13.1,0.825726141
531,1,9,0.611965812
854,5,4.8,0.670194004
1372,3,6.4,0.833333333
1913,3,10.6,0.636190476
1441,3,11.8,0.709543568
1785,7,6.1,0.555555556
534,5,7.7,0.647524752
1484,5,11.4,0.687830688
276,5,12.9,0.709543568
445,5,15.7,0.699170124
1044,6,5.4,0.708910891
681,5,4.3,0.67008547
791,5,6.3,0.79047619
1376,1,5.4,0.647266314
2094,6,7.5,0.679207921
547,1,9.6,0.782157676
2022,1,12,0.762376238
1809,4,15.2,0.533333333
831,2,10.5,0.61025641
1085,5,6,0.685714286
1491,7,6.9,0.627350427
