"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","sndp","total_num_of_crimes"
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,66.1,0,0.634920634920635
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,65.3,0,0.608465608465608
"137",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,67.4,0,0.675485008818342
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,72.9,0,0.638447971781305
"139",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,78.1,0,0.758377425044092
"140",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,76.5,0,0.770723104056437
"141",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,67,0,0.647266313932981
"142",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,64.9,0,0.698412698412698
"143",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,68.9,0,0.756613756613757
"144",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,73.5,0,0.754850088183421
"145",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,65.3,0,0.610229276895944
"146",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,65.9,0,0.701940035273369
"147",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,63.3,0,0.564373897707231
"148",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,64.2,0,0.604938271604938
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,69.6,0,0.694885361552028
"150",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,66.6,0,0.793650793650794
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,68.6,0,0.691358024691358
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,75.1,0,0.728395061728395
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,80.1,0,0.758377425044092
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,84.8,0,0.779541446208113
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,79.7,0,0.664902998236332
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,68.3,0,0.724867724867725
"157",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,75.7,0,0.728395061728395
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,71.3,0,0.698412698412698
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,71.6,0,0.747795414462081
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,73.1,0,0.686067019400353
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,77.6,0,0.696649029982363
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,70.8,0,0.671957671957672
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,66.1,0,0.712522045855379
"164",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,74,0,0.770723104056437
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,81.3,0,0.708994708994709
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,78.7,0,0.693121693121693
