,day,wdsp,prcp,total_num_of_crimes
1207,6,12.9,0.01,0.765560166
1895,7,3.5,0.01,0.573333333
2040,4,9.3,0,0.631683168
2047,6,5.8,0,0.630705394
1409,3,8.2,0.05,0.691428571
106,3,9.1,0.43,0.636190476
828,5,9.1,0,0.695049505
1060,7,8.7,0,0.678571429
1658,6,13.5,0.1,0.589065256
152,1,7.3,0.06,0.572649573
837,3,9.1,0,0.635897436
1534,2,7.8,0,0.71031746
42,1,15.5,0,0.639004149
64,3,11.6,0.24,0.552380952
179,2,6.8,0,0.588118812
98,6,12.1,0,0.591452991
770,5,14.9,0.84,0.740740741
1512,7,15.3,0,0.596039604
190,3,10.1,0,0.773333333
1662,4,14.8,0.06,0.592079208
839,6,10.6,0.25,0.580952381
207,4,10,0,0.650793651
1118,7,9.9,0.01,0.721340388
1952,6,10.1,0.04,0.571428571
1717,7,12.2,0,0.628630705
810,2,8.2,0.92,0.708910891
2066,4,8.4,0,0.488536155
768,2,6,0,0.728712871
482,6,11.7,0,0.617283951
1424,2,5,0.78,0.705467372
1548,6,5.1,0,0.742574257
1034,7,4.7,0.73,0.747795414
1698,3,10.6,0.09,0.689108911
859,4,13.1,0.02,0.825726141
1309,2,7.5,0.27,0.746887967
1541,4,3.9,0.07,0.632380952
882,7,4.1,0,0.84950495
980,5,7.7,0.01,0.793650794
1889,6,7.9,0,0.607619048
951,1,11.3,0.44,0.560683761
635,7,12,0.34,0.626666667
1770,1,6.7,0,0.655445545
408,5,5.8,0,0.732673267
1485,6,6.2,0,0.572649573
326,2,12.6,0,0.557264957
1096,6,4.7,0,0.688492063
1685,7,9.4,0.44,0.617142857
1779,6,11.9,0.04,0.577777778
1126,4,6.1,0.13,0.738095238
1677,3,5.5,0,0.586324786
651,7,8.7,0,0.562393162
292,6,8.2,0,0.64
448,3,19.8,0.22,0.648809524
284,2,9.1,0,0.509401709
2004,5,3.4,0,0.689108911
166,6,11.8,0,0.68952381
1557,4,9.3,0,0.593162393
1565,1,7.5,0,0.699047619
1946,5,6.9,0,0.610229277
2051,5,10.3,0,0.643809524
1286,7,4.7,0,0.731922399
1751,4,7.2,0,0.683809524
2135,5,6.6,0,0.678095238
1669,6,8.9,0,0.709543568
2065,2,13.8,0.01,0.663900415
1758,6,14.5,0.06,0.695049505
920,2,9.9,0.2,0.770723104
30,6,6.8,0,0.7406639
1785,7,6.1,0.12,0.555555556
1475,7,6.3,0.26,0.657142857
2044,3,12.9,0,0.626984127
1996,2,11.6,0.65,0.668650794
1476,1,6.5,0.01,0.748514851
886,6,12.8,0.14,0.736111111
494,1,4.9,0,0.601410935
130,7,4.5,0,0.655238095
1250,1,13.3,0.04,0.733686067
1182,1,4.7,0,0.77029703
947,3,10,0,0.716190476
785,4,9.3,0.82,0.626666667
1138,6,9.9,0,0.674603175
1019,1,8.1,0,0.678095238
805,2,4,0,0.773858921
2102,3,11.1,0.02,0.620811287
1963,6,4.8,0,0.67219917
302,5,8.8,0,0.507692308
1141,2,5.5,0,0.72406639
1853,7,2.9,0.44,0.632380952
1643,7,8.2,0,0.727619048
280,4,6.7,0,0.552380952
1004,2,12.9,0,0.779541446
1979,7,6.6,0,0.592380952
1023,6,5.9,0,0.656410256
1076,7,11,0.2,0.693121693
1707,1,12.6,0,0.582905983
480,3,13,0,0.60990099
1192,1,5.7,0.78,0.732142857
1037,4,10.1,0,0.727619048
813,6,6,0.03,0.765811966
2190,1,8,0,0.641584158
906,4,9.1,0.22,0.833663366
2028,2,8.4,0,0.687128713
1026,3,6.3,0.03,0.930693069
1324,2,5.7,0,0.668650794
1403,2,11.1,0.69,0.740952381
2140,5,6.1,0,0.662698413
507,4,8.1,0.13,0.555555556
91,4,12.6,0,0.557319224
2182,5,10.9,0,0.686507937
1423,7,8.8,0,0.699170124
345,6,10.6,0,0.583333333
1128,6,7,0,0.742574257
1977,4,12.9,0.26,0.499145299
583,7,7.3,0,0.699170124
1480,7,6.7,0,0.702380952
746,1,11.7,0.01,0.758377425
1080,5,8.4,0,0.700990099
1539,1,9.3,0,0.6
818,6,6.7,0.08,0.700176367
913,6,8.6,0,0.771784232
577,6,4.2,0,0.726141079
1347,4,7.8,0,0.666666667
595,2,9.8,0,0.649377593
175,4,15.3,0,0.60670194
228,4,8.6,0.33,0.695020747
686,5,11,0.24,0.701940035
1960,3,8.5,0.1,0.615079365
1872,4,5.7,0,0.598019802
1362,3,6,0,0.827722772
1196,6,3.8,0,0.677248677
1022,5,7.3,0.37,0.728395062
1245,1,6.8,0,0.668376068
1072,2,10.4,0,0.722222222
281,5,10.6,0,0.621782178
796,5,9.8,1.03,0.692460317
1884,6,12.5,0.02,0.6
2093,5,9.1,0,0.643809524
720,1,9.5,0,0.774257426
1573,4,5.8,0,0.819502075
647,2,9,0,0.699047619
1006,5,9.1,0,0.718253968
236,1,13.4,0,0.488888889
637,2,9.4,0,0.647302905
1624,3,9.4,0.01,0.597222222
147,1,7.2,0,0.686507937
1714,4,6.6,0.5,0.650793651
811,3,3.1,0,0.778008299
1238,6,7.3,0,0.680776014
1579,5,3.7,0.01,0.788381743
2175,2,12.9,1.82,0.514529915
680,4,11,0.03,0.617283951
22,3,14.2,0.01,0.544761905
2016,7,7.2,0.85,0.623762376
155,5,12.3,0,0.691089109
546,7,8.8,0.05,0.673267327
1905,6,7,0,0.555555556
1560,1,3.9,0,0.675247525
526,2,3.7,0,0.726190476
853,3,12.8,0.79,0.7406639
260,5,8.4,0,0.483760684
2011,7,9.1,0.16,0.686721992
1674,6,6.9,1.26,0.637623762
8,5,5.1,0,0.538461538
554,4,11.5,0.42,0.594356261
191,4,11.5,0,0.736633663
1635,3,15.2,0,0.572649573
1367,3,6.5,0,0.697142857
963,3,11.5,0.08,0.652991453
1233,6,8.2,0,0.64957265
2088,5,6.4,0.36,0.689108911
1425,3,5.3,0,0.596581197
189,1,5.4,0.02,0.777777778
109,7,10.8,0.04,0.546737213
1463,5,12.7,0,0.765714286
1706,7,7.8,0,0.574955908
773,2,5.8,0.3,0.643809524
1430,3,5.7,0,0.659611993
895,3,7.1,0.74,0.755186722
1121,4,5.1,0,0.653333333
2141,6,9.3,0,0.634285714
422,3,16.1,0.5,0.541446208
1583,4,5.9,0,0.647619048
1639,1,6.6,0.1,0.736514523
1445,2,4.1,0.04,0.676190476
2064,1,5.2,0,0.695049505
910,3,6,1.09,0.882936508
844,6,8.4,0,0.746031746
1829,3,6.8,0,0.727619048
1976,3,5.2,0,0.562610229
1044,6,5.4,0.73,0.708910891
1257,3,8,0.07,0.601709402
1149,6,3.7,0,0.618803419
1211,5,6.1,0.65,0.666666667
834,6,5.1,0.03,0.637623762
1709,4,6.9,0.16,0.634285714
1441,3,11.8,0,0.709543568
1533,7,6.8,0.13,0.615384615
765,5,7.8,0,0.652991453
1246,3,3.9,0,0.722222222
1857,5,14.1,0.47,0.642735043
1288,3,4.2,0,0.763888889
1455,1,2.3,0,0.622222222
1068,3,7.4,0.96,0.768316832
1828,2,9.5,0,0.863095238
1964,1,12.4,0.72,0.532627866
1585,6,9,0,0.7406639
1408,2,8.5,0,0.712301587
1597,1,9.5,0.5,0.717842324
535,6,11.3,0.61,0.645228216
1225,2,7.1,0,0.796680498
1773,5,9.7,0,0.625641026
1075,5,8.6,0,0.798755187
570,4,7.1,0,0.651485149
1428,7,6.8,0.06,0.726732673
1058,4,6,0.02,0.712522046
1357,3,5.3,0.23,0.748962656
1160,7,8.6,3.31,0.684303351
1949,2,13.3,0,0.651428571
612,4,10.6,0.02,0.702970297
299,1,8.9,0,0.617821782
472,7,9.4,0,0.617063492
587,6,9.2,0,0.594285714
826,3,6.4,0.01,0.75
1604,4,3.3,0,0.634920635
1920,5,10.3,0.08,0.681188119
790,4,8.4,0.02,0.650793651
1882,4,10.8,0,0.619047619
1740,3,10.4,0,0.601980198
449,4,6.3,0,0.59047619
1460,1,10.9,0,0.814814815
578,1,6.9,0,0.643738977
832,4,4.2,0,0.706349206
957,2,5.9,0.1,0.637606838
618,5,9.5,0.02,0.702970297
1616,6,4.5,0,0.742504409
351,7,14.4,0,0.571428571
1803,3,11.9,0.48,0.555555556
1365,7,7.1,0.05,0.71965812
1278,3,5.8,0.01,0.869306931
1752,5,9.7,0,0.712871287
815,2,10.5,0,0.647619048
1074,4,3.2,0.04,0.807920792
405,1,4.7,0,0.6
308,6,6.3,0,0.512820513
1790,7,4.7,0,0.626102293
285,3,5.9,0.03,0.581349206
1794,5,7.3,0,0.75049505
2074,1,9.5,0.28,0.58531746
1255,7,10.1,0,0.769709544
2054,2,11.4,0.1,0.552028219
1600,6,9.3,0,0.775793651
873,2,10.9,0.06,0.625641026
1273,3,8.5,0,0.709543568
1543,6,6.9,0.01,0.757261411
1415,4,7.5,0,0.71047619
461,6,12.1,0,0.598095238
845,7,9.8,0.4,0.63047619
1904,5,7.5,0,0.624338624
1581,1,5.6,0,0.582905983
388,7,8.9,0,0.573412698
1673,5,5.7,0.13,0.624761905
1822,1,6.9,0,0.833333333
1227,5,6,0,0.699145299
717,4,12.1,0,0.548717949
289,2,10.2,0.38,0.527336861
454,4,14.1,0.13,0.64484127
1877,4,9,0,0.582857143
1930,5,13.7,0,0.718253968
