,day,wdsp,prcp,total_num_of_crimes
517,3,7.8,0,0.668049793
797,6,6.4,0,0.634285714
1681,1,7,0,0.692946058
1035,1,8.7,0,0.646153846
697,5,14.5,0.06,0.786307054
1787,3,7,0.43,0.64
1655,2,10.7,0,0.619047619
1550,2,5.3,0,0.617283951
1896,1,6.5,0,0.611881188
704,1,14.5,0.11,0.636684303
708,6,13.4,0.03,0.669306931
1969,7,8.9,0,0.701244813
518,5,13.7,0.1,0.633156966
1768,6,6.2,0,0.64484127
753,3,5.4,0.01,0.579487179
279,2,3.6,0,0.569444444
468,1,11.8,0,0.625742574
2172,5,15.6,0.52,0.685148515
1321,4,10.1,0,0.79253112
1144,7,4.7,0,0.692460317
1780,1,8.4,0,0.712301587
939,6,9.6,0,0.564102564
492,5,7.8,0,0.702970297
1232,5,7.6,0,0.765432099
900,3,7.8,0,0.792079208
1791,1,4.8,0,0.651282051
1689,5,10.9,0,0.6
1371,1,6.9,0,0.629059829
146,7,10.3,0,0.535042735
795,3,9.3,0,0.591452991
1380,6,7,0.06,0.772277228
1901,1,5.2,0.09,0.636190476
1921,6,5,0,0.636929461
1627,6,9.3,1.54,0.649377593
1407,7,9.9,0,0.603418803
807,5,9.8,0.16,0.707692308
2128,3,7.5,0,0.668650794
883,1,6.7,0.01,0.746887967
1867,4,11.6,0,0.639004149
1727,7,12.9,5.2,0.563809524
1631,5,9.6,0,0.687619048
358,2,16.2,0.05,0.744047619
1821,6,8.8,0,0.547008547
1391,7,5.8,0,0.672380952
319,7,8.9,0,0.513227513
2059,1,9.1,0.01,0.639004149
1221,4,4.1,0,0.676923077
506,3,7.7,0,0.608465608
1509,3,6.2,1.01,0.557264957
1102,7,6,0,0.75
784,3,5.4,0.35,0.759920635
1457,4,11.1,0,0.615238095
1490,6,7.7,0.43,0.647266314
656,7,8.9,0,0.560846561
1618,2,11.4,0.02,0.700396825
1841,5,10.4,0.07,0.674285714
1283,3,5.4,0,0.695238095
771,6,7.2,0.59,0.541880342
1555,1,5.1,0.15,0.817427386
399,7,6.7,0,0.488888889
547,1,9.6,0,0.782157676
1609,3,11.8,0,0.670124481
918,6,8.7,0,0.736633663
941,2,12.1,0,0.740952381
728,5,9.8,0.08,0.728395062
1690,7,6.2,0,0.601190476
1837,6,10.3,0,0.670124481
1771,2,16.1,0.08,0.636929461
2105,7,3.3,0,0.622857143
1934,3,12.2,0,0.532627866
2123,3,8,0,0.681904762
352,2,11.4,0.01,0.571428571
2038,2,5.9,0,0.634920635
874,4,8.6,1.02,0.732142857
1052,3,4.1,1.1,0.671957672
367,6,6.5,0,0.645228216
950,7,13.9,0.33,0.610229277
1845,3,5.2,0,0.673504274
1137,4,7.2,0.04,0.54017094
730,1,12.7,0.38,0.706349206
749,5,15.1,0,0.691428571
1619,3,10.1,0,0.659047619
1705,5,11.1,0.11,0.680497925
743,4,11.9,0,0.638095238
1879,6,10.1,0,0.647302905
1593,3,4.6,0,0.663247863
1623,1,5.2,0,0.611965812
1957,5,8.2,0.31,0.665975104
1452,4,7.5,0.02,0.786138614
1611,6,7.6,0,0.618803419
933,5,11,0,0.635897436
1910,6,5.5,0,0.624338624
2176,4,13.4,0,0.626984127
322,4,11.5,0,0.603809524
1108,1,6.1,0,0.777777778
1743,7,2.8,0,0.509401709
1628,1,4.5,0,0.64021164
376,5,7.2,0.01,0.632936508
1459,6,8.2,0,0.701244813
1084,4,7.2,0,0.746031746
649,4,10.9,0.08,0.661825726
943,4,5.5,0.01,0.697095436
2015,6,4.9,0,0.659047619
659,4,10.9,0.06,0.681904762
1216,5,7.7,0.74,0.75
140,6,8.5,0,0.565811966
2086,3,10.7,0,0.557539683
1525,3,7.9,0,0.746887967
1315,3,5.9,0,0.751037344
1465,7,5.2,0.78,0.817427386
1613,2,7.5,0,0.695238095
1782,3,3.2,0,0.734653465
1840,4,5.3,0.3,0.716269841
317,4,12.7,0.11,0.675247525
1171,7,7.4,0.14,0.732365145
1139,7,7,0,0.740952381
936,2,11.2,0,0.706930693
1754,1,8.5,0,0.659611993
2146,6,5.2,0.05,0.577380952
2083,5,6.9,0,0.757261411
1777,3,9,0.05,0.68879668
1434,1,13.8,0,0.77029703
2099,6,7.9,0,0.714285714
88,7,2.5,0,0.537142857
1778,5,5.1,0,0.693121693
1991,2,13.9,0,0.691428571
1212,6,10.8,0.52,0.693069307
110,1,4.5,0,0.570940171
1011,4,7.8,0.33,0.661538462
1500,5,9.7,0.46,0.665346535
1276,1,6.1,0,0.827380952
2109,5,11,0,0.51965812
112,4,6.3,0,0.660952381
1820,5,17.2,0,0.716049383
1680,7,8.6,0.19,0.62970297
814,1,10.2,0,0.759920635
318,5,6,0,0.697095436
952,3,6.9,0,0.694444444
849,5,7.5,0,0.673504274
275,4,5.8,0,0.625742574
516,2,10.4,0.39,0.64950495
899,2,9.7,0,0.739047619
1170,6,5,0.01,0.669306931
1467,3,7.6,0,0.620512821
508,6,6.5,0,0.640873016
1155,7,5.9,0.09,0.622222222
1528,1,7.4,0,0.767857143
609,7,8,0,0.611965812
1401,6,7.8,0,0.699145299
97,5,10.8,0,0.636684303
82,6,5.4,0,0.548571429
1036,3,6.5,0,0.755952381
1830,4,10.1,0.26,0.853465347
1268,4,7.1,0,0.69664903
1715,5,6.2,0,0.676190476
687,6,13.1,0.29,0.567521368
884,3,7.2,1.18,0.634920635
1499,4,7.7,0,0.666666667
862,2,8.7,0,0.761904762
2183,6,11.2,0.02,0.558095238
268,2,11,0,0.651428571
803,7,6.2,0,0.668571429
530,7,5.8,0,0.624338624
394,1,11.1,0,0.755952381
1294,4,5.6,0,0.765873016
1494,4,9.7,0.45,0.689108911
919,7,7.5,0.03,0.738589212
374,2,5.7,0,0.585537919
1495,5,8.8,0,0.728215768
2132,1,8.1,0,0.536155203
1201,5,10.4,1.43,0.786307054
1484,5,11.4,0.22,0.687830688
424,6,4.3,0,0.632936508
1368,4,4.5,0.13,0.758415842
1048,5,7.3,0,0.720238095
988,2,7.3,0,0.755952381
453,2,15,0,0.565811966
1675,7,8.3,0.28,0.647302905
732,3,14.8,0,0.738613861
392,5,6.4,0,0.649029982
2096,2,8,0.12,0.529100529
1876,3,8.8,0.01,0.593253968
1370,7,6.9,0,0.633156966
380,3,10.4,0,0.57319224
1523,1,5.1,0,0.64952381
154,4,11.5,0.02,0.592380952
262,1,8.6,0,0.638095238
1385,6,6,0,0.767619048
715,1,9.6,0.4,0.701244813
958,4,6.4,0,0.740079365
1665,1,7.4,0,0.622222222
816,3,5.6,0,0.702970297
1454,7,6.4,0,0.641975309
18,4,9.8,0,0.753112033
1077,1,4.4,0.02,0.617094017
681,5,4.3,0,0.67008547
1266,1,5.7,0,0.734653465
2061,4,12.2,0,0.533333333
857,2,7.7,0.01,0.674285714
1372,3,6.4,0.04,0.833333333
111,2,6.4,0,0.593253968
382,6,8,0.03,0.579365079
1471,1,3.8,0.67,0.782157676
85,3,11.7,0,0.619047619
1412,7,5.8,0.5,0.634920635
750,6,7.1,0,0.774257426
1448,6,11.5,0,0.707231041
1402,1,3.5,0,0.716269841
1464,6,9.3,1.07,0.805940594
783,1,9.4,0.05,0.625641026
2020,6,6.3,0,0.718253968
271,6,5.1,0,0.479717813
1504,4,9.4,0.21,0.777777778
276,5,12.9,0,0.709543568
269,3,7.4,0,0.588118812
1868,6,11.3,0,0.58377425
1364,6,7.1,0,0.643738977
617,4,8.3,0.04,0.615238095
402,4,10,0.01,0.592079208
522,3,5.3,0.04,0.584158416
1100,4,6.9,0.17,0.746031746
1741,4,5.3,0,0.67219917
1145,1,8.4,0.17,0.697142857
1622,7,3.5,0,0.694885362
1737,6,8.5,0,0.536752137
1446,3,7.6,0.84,0.669306931
754,5,5.4,0,0.698412698
1749,1,13.2,0,0.652991453
1086,6,9.9,0,0.801980198
205,2,3.7,0,0.520282187
1110,3,6.9,0,0.740594059
817,4,8,0,0.751037344
383,7,12.1,0,0.575238095
1383,3,12.2,0.94,0.618803419
366,5,6,0.32,0.702970297
1806,7,10.4,0.14,0.621782178
1657,4,8.2,0.59,0.711618257
1505,5,5.3,0,0.613333333
555,5,8.9,0.25,0.593162393
1116,4,6.7,0.15,0.776237624
1433,7,7.4,0,0.598095238
1607,1,5.6,0,0.733333333
1688,4,6.3,0,0.555555556
605,2,7.8,0.52,0.67047619
360,4,11.7,0,0.702970297
1943,1,11.8,0,0.653333333
159,3,9.8,0,0.666666667
576,5,10.5,0.09,0.631683168
