,day,sndp,temp,total_num_of_crimes
1321,4,0,80.2,0.79253112
309,7,0,41.5,0.589285714
1182,1,0,83,0.77029703
439,4,0,56.2,0.676348548
1842,6,0,43,0.687128713
564,3,0,32.8,0.63960396
1194,3,0,72.6,0.792079208
1147,3,0,85,0.807053942
1423,7,0,70,0.699170124
1619,3,0,70.8,0.659047619
2002,3,0,42.1,0.64484127
1051,1,0,73.2,0.794605809
672,7,0,51,0.605940594
607,4,0,45.6,0.728215768
1099,2,0,84.9,0.715767635
979,3,0,69.5,0.736514523
1287,1,0,77.8,0.629059829
797,6,0,63.2,0.634285714
2134,4,2,35.6,0.609126984
1841,5,0,45.9,0.674285714
1237,4,0,74.3,0.786307054
563,2,0,48.6,0.683809524
2056,5,0,23.8,0.593253968
913,6,0,71.4,0.771784232
737,3,0,48.1,0.664761905
897,6,0,66,0.565811966
1050,7,0,73.7,0.805940594
1532,6,0,49.8,0.566137566
1433,7,0,70.3,0.598095238
1404,3,0,71.1,0.722772277
1229,1,0,71.5,0.700952381
1150,1,0,81.3,0.628968254
1693,3,0,61.7,0.728215768
1487,2,0,64.1,0.622857143
1186,7,0,73.9,0.676587302
1531,4,0,74.2,0.825726141
1301,6,0,67.7,0.84
1339,7,0,75.7,0.794605809
159,3,0,29.1,0.666666667
887,7,0,67,0.643809524
1519,2,0,79.4,0.701244813
1159,5,0,74.1,0.769709544
178,1,0,24.1,0.655238095
208,6,0,24.1,0.552380952
10,1,0,36.1,0.567619048
818,6,0,49.7,0.700176367
369,2,3.9,30.7,0.535042735
512,4,0,39.7,0.597883598
866,7,0,68,0.634920635
759,4,0,71.2,0.61025641
1547,5,0,74.9,0.725714286
1766,3,0,50.4,0.590828924
1670,1,0,55,0.571428571
406,3,0,62.1,0.654761905
1984,7,0,39.4,0.615079365
1490,6,0,68.7,0.647266314
1672,4,0,67.8,0.682539683
82,6,0,30.1,0.548571429
424,6,0,46.1,0.632936508
1882,4,0,51.3,0.619047619
1153,4,0,78.7,0.786307054
1458,5,0,72.4,0.720792079
262,1,0,36.1,0.638095238
68,1,3.9,26.3,0.526495726
98,6,1.2,36.8,0.591452991
1158,4,0,79.3,0.746534653
540,6,0,46,0.63960396
1225,2,0,70.8,0.796680498
1952,6,0,40,0.571428571
21,1,2,28.5,0.615079365
2097,3,0,45.1,0.564102564
