day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,thunder,total_num_of_crimes
1,2015,9,7,07/09/2015,83.6,66.9,1013.8,10,7.5,12,999.9,93.9,73.9,0,0,0,0,0,0,379
3,2016,9,7,07/09/2016,85.1,71.6,1014.2,10,9.5,15.9,22.9,93,78.1,0,0,0,0,0,1,330
4,2017,9,7,07/09/2017,60.6,46.2,1016.7,10,7.7,15,21,70,53.1,0,0,0,1,0,0,350
5,2018,9,7,07/09/2018,68.9,60.8,1022.9,9.3,9.7,15,999.9,70,66.2,0.46,0,0,1,0,0,336
6,2019,9,7,07/09/2019,68.1,56.3,1016.5,10,7.6,14,20,79,57,0,0,0,0,0,0,352
1,2014,9,8,08/09/2014,70.6,53.6,1018.9,10,4.8,9.9,15,79,57.9,0,0,0,0,0,0,315
2,2015,9,8,08/09/2015,80,69.1,1011.1,9.4,8,19,28,90,73.9,0,0,1,1,0,1,332
4,2016,9,8,08/09/2016,77.3,70.3,1010.6,9.4,9.4,15,22,88,72,0.21,0,0,1,0,0,392
5,2017,9,8,08/09/2017,63.5,48.5,1020.7,10,5.3,13,999.9,72,59,0,0,0,1,0,0,322
6,2018,9,8,08/09/2018,67.1,52.6,1020.9,10,15.4,21,27,69.1,64.9,0.08,0,0,0,0,0,314
7,2019,9,8,08/09/2019,66.1,55.9,1018.1,10,8.2,11.1,999.9,73,62.1,0,0,0,1,0,0,359
2,2014,9,9,09/09/2014,73.1,59.3,1014.1,10,6.6,9.9,17.1,81,60.1,0.01,0,0,1,0,0,359
3,2015,9,9,09/09/2015,72.4,61.2,1013.6,9.8,6.2,12,999.9,88,68,1.01,0,0,1,0,0,326
5,2016,9,9,09/09/2016,75.2,66.7,1012.5,10,4.3,9.9,999.9,81,69.1,0.01,0,0,1,0,0,358
6,2017,9,9,09/09/2017,64.5,48.5,1027.6,10,8.9,14,18.1,71.1,57,0,0,0,0,0,0,320
7,2018,9,9,09/09/2018,65,51.1,1017.4,10,15.3,20,27,70,61,0,0,0,0,0,0,301
1,2019,9,9,09/09/2019,67.5,60.2,1020.6,10,5.7,9.9,999.9,78.1,62.6,0.05,0,0,1,0,0,358
3,2014,9,10,10/09/2014,74.6,67.3,1005.7,8.1,12.4,20,31.1,82,66,1.04,0,0,1,0,0,367
4,2015,9,10,10/09/2015,66.6,56.2,1013.8,10,4.5,12,18.1,78.1,59,0,0,0,1,0,1,321
6,2016,9,10,10/09/2016,70.3,60.5,1010.9,9.7,7.8,15.9,25.1,73,66.2,0.02,0,0,1,0,0,334
7,2017,9,10,10/09/2017,62.5,46.4,1029.3,10,6.9,11.1,14,69.1,53.1,0,0,0,0,0,0,338
1,2018,9,10,10/09/2018,66.6,55.1,1015.6,10,9.3,17.1,999.9,73.9,61,0,0,0,0,0,0,345
2,2019,9,10,10/09/2019,79.4,67.8,1016.9,10,10,17.1,25.1,91,73,0.01,0,0,0,0,0,338
4,2014,9,11,11/09/2014,56.6,48.5,1016.6,9.9,10.9,19,29.9,82,52,0.57,0,0,1,0,0,354
5,2015,9,11,11/09/2015,63.4,56,1013.9,9.7,7.2,18.1,26,77,59,0.22,0,0,1,0,0,324
7,2016,9,11,11/09/2016,66.8,50.9,1020.3,10,4.8,9.9,999.9,75.9,55.9,0.03,0,0,0,0,0,333
1,2017,9,11,11/09/2017,64,48.8,1024.9,10,5.1,8.9,999.9,73.9,55,0,0,0,0,0,0,341
2,2018,9,11,11/09/2018,67.5,56.4,1019.4,9.3,3.4,9.9,15,80.1,57,0,0,0,0,0,0,335
3,2019,9,11,11/09/2019,81.6,71.7,1017.4,9.8,7.9,17.1,24.1,91,75,0,0,0,0,0,0,360
5,2014,9,12,12/09/2014,53.3,47.1,1025,8.3,9.9,14,18.1,57.9,48.9,0.01,0,0,1,0,0,367
6,2015,9,12,12/09/2015,59.2,46,1016.8,9.8,10.5,15.9,19,69.1,54,0.24,0,0,1,0,0,317
1,2016,9,12,12/09/2016,70.7,51.7,1018.8,10,7.4,13,19,81,61,0,0,0,0,0,0,387
2,2017,9,12,12/09/2017,67,54,1016,10,7.2,13,999.9,77,57.9,0,0,0,0,0,0,342
