day,sndp,total_num_of_crimes
2,0,0.636684303
2,0,0.532627866
2,0,0.552028219
2,0,0.541446208
2,0,0.564373898
2,0,0.552028219
2,0,0.529100529
2,0,0.546737213
2,3.1,0.548717949
2,0,0.608547009
2,1.2,0.586324786
2,3.9,0.524786325
2,3.1,0.509401709
2,3.1,0.557264957
2,3.9,0.535042735
2,0,0.644444444
2,0,0.565811966
2,2,0.548717949
2,0,0.579487179
2,0,0.658119658
2,0,0.547008547
2,0,0.564102564
2,0,0.558974359
2,0,0.620512821
2,0,0.61025641
2,0,0.625641026
2,0,0.608547009
2,0,0.637606838
2,0,0.700854701
2,0,0.601709402
2,0,0.576068376
2,0,0.594871795
2,0,0.58974359
2,0,0.639316239
2,0,0.673504274
2,0,0.581196581
2,0,0.629059829
2,0,0.678632479
2,0,0.656410256
2,0,0.567521368
2,0,0.683760684
2,0,0.603418803
2,0,0.576068376
2,0,0.627350427
2,0,0.598290598
2,0,0.618803419
2,0,0.552136752
2,0,0.598290598
2,0,0.531623932
2,0,0.54017094
2,1.2,0.524786325
2,0,0.608547009
2,0,0.576068376
2,0,0.601709402
2,0,0.52991453
2,0,0.514529915
2,0,0.001177091
2,0,0.001173154
2,0,0.001153471
2,1.2,0.00112985
2,0,0.001184965
2,0,0.001476285
2,0,0.001401487
2,0,0.001440854
2,0,0.001425107
2,0,0.001440854
2,0,0.001299131
2,0,0.001295194
2,0,0.001318815
2,0,0.0012637
2,0,0.001389676
2,0,0.001358182
2,0,0.001385739
2,0,0.001511716
2,0,0.001405423
2,0,0.001310941
2,0,0.001499906
2,0,0.001480222
2,0,0.001432981
2,0,0.001771542
2,0,0.001432981
2,0,0.001653439
2,0,0.001763668
2,0,0.001527463
2,0,0.001326688
2,0,0.00142117
2,0,0.001413297
2,0,0.001385739
2,0,0.001519589
2,0,0.00140936
2,0,0.001499906
2,0,0.001389676
2,0,0.001295194
2,0,0.001342435
2,0,0.001480222
2,0,0.001377866
2,0,0.001712491
2,0,0.001295194
2,0,0.001247953
2,0,0.00128732
2,0,0.001326688
2,1.2,0.001259763
2,3.1,0.001196775
2,0,0.001177091
2,0,0.617142857
2,0,0.685714286
2,0,0.619047619
2,0,0.685714286
2,0,0.624761905
2,0,0.617142857
2,0,0.651428571
2,0,0.632380952
2,0,0.571428571
2,0,0.594285714
2,0,0.619047619
2,0,0.607619048
2,0,0.683809524
2,0,0.67047619
2,0,0.699047619
2,0,0.718095238
2,0,0.56952381
2,0,0.643809524
2,0,0.647619048
2,0,0.674285714
2,0,0.739047619
2,0,0.740952381
2,0,0.742857143
2,0,0.712380952
2,0,0.746666667
2,0,0.740952381
2,0,0.681904762
2,0,0.702857143
2,0,0.725714286
2,0,0.706666667
2,0,0.708571429
2,0,0.740952381
2,0,0.676190476
2,0,0.622857143
2,0,0.651428571
2,0,0.651428571
2,0,0.695238095
2,0,0.619047619
2,0,0.620952381
2,0,0.632380952
2,0,0.651428571
2,0,0.695238095
2,0,0.588571429
2,0,0.643809524
2,0,0.651428571
2,0,0.691428571
2,0,0.674285714
2,1.2,0.603809524
2,0,0.704761905
2,1.2,0.633663366
2,0,0.673267327
2,0,0.588118812
2,11,0.615841584
2,0,0.598019802
2,0,0.645544554
2,0,0.615841584
2,1.2,0.60990099
2,0,0.633663366
2,0,0.64950495
2,0,0.584158416
2,0,0.659405941
2,0,0.671287129
2,0,0.643564356
2,0,0.728712871
2,0,0.708910891
2,0,0.774257426
2,0,0.827722772
2,0,0.706930693
2,0,0.772277228
2,0,0.716831683
2,0,0.762376238
2,0,0.788118812
2,0,0.758415842
2,0,0.685148515
2,0,0.752475248
2,0,0.778217822
2,0,0.699009901
2,0,0.75049505
2,0,0.691089109
2,0,0.76039604
2,0,0.76039604
2,0,0.663366337
2,0,0.706930693
2,0,0.627722772
2,0,0.625742574
2,0,0.710891089
2,0,0.603960396
2,0,0.687128713
2,0,0.691089109
2,0,0.738613861
2,0,0.655445545
2,0,0.687128713
2,0,0.60990099
2,0,0.615841584
2,0,0.682572614
2,3.1,0.657676349
2,5.1,0.649377593
2,1.2,0.697095436
2,0,0.628630705
2,0,0.684647303
2,0,0.649377593
2,0,0.647302905
2,0,0.697095436
2,0,0.755186722
2,0,0.692946058
2,0,0.773858921
2,0,0.721991701
2,0,0.763485477
2,0,0.790456432
2,0,0.796680498
2,0,0.705394191
2,0,0.807053942
2,0,0.715767635
2,0,0.72406639
2,0,0.744813278
2,0,0.796680498
2,0,0.778008299
2,0,0.746887967
2,0,0.761410788
2,0,0.686721992
2,0,0.701244813
2,0,0.636929461
2,0,0.701244813
2,0,0.755186722
2,0,0.721991701
2,0,0.875518672
2,0,0.726141079
2,0,0.736514523
2,0,0.636929461
2,0,0.65560166
2,0,0.647302905
2,0,0.738589212
2,0,0.695020747
2,0,0.632780083
2,0,0.663900415
2,0,0.653526971
3,0,0.619047619
3,5.1,0.522045855
3,3.1,0.603174603
3,7.1,0.485008818
3,3.9,0.596119929
3,0,0.57319224
3,3.1,0.57319224
3,3.1,0.541446208
3,0,0.682539683
3,0,0.608465608
3,0,0.668430335
3,0,0.666666667
3,0,0.67372134
3,0,0.633156966
3,0,0.666666667
3,0,0.656084656
3,0,0.677248677
3,0,0.643738977
3,0,0.634920635
3,0,0.647266314
3,0,0.604938272
3,0,0.664902998
3,0,0.671957672
3,0,0.705467372
3,0,0.774250441
3,0,0.761904762
3,0,0.71957672
3,0,0.627865961
