"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","sndp","wdsp","total_num_of_crimes"
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,8.3,0.611992945326279
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,10.9,0.634920634920635
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,9.1,0.6331569664903
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,11,0.617283950617284
"102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,11,0.701940035273369
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,10.6,0.62962962962963
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,13.8,0.562610229276896
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,14.5,0.63668430335097
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,9.8,0.684303350970018
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,8.2,0.666666666666667
"108",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,0,12.1,0.756613756613757
"109",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,0,9.8,0.728395061728395
"110",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,0,12.8,0.622574955908289
"111",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,0,9.6,0.603174603174603
"112",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,0,11.7,0.758377425044092
"113",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,0,11.5,0.689594356261023
"114",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,0,9.3,0.656084656084656
"115",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,0,10.3,0.641975308641975
"116",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,0,14.9,0.740740740740741
"117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,0,6.6,0.613756613756614
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,0,7.7,0.652557319223986
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,0,11.2,0.701940035273369
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,0,10.4,0.64021164021164
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,0,8.9,0.677248677248677
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,0,13.1,0.597883597883598
"123",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,0,8.9,0.712522045855379
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,0,6.7,0.700176366843034
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,0,7.7,0.721340388007055
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,0,9.7,0.693121693121693
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,0,10.6,0.6331569664903
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,0,6.9,0.64373897707231
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,0,8.3,0.687830687830688
"130",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,0,4.8,0.670194003527337
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,0,4.1,0.64021164021164
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,0,3.5,0.634920634920635
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,0,6.3,0.619047619047619
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,0,8.3,0.631393298059965
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,0,7.2,0.634920634920635
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,0,8.5,0.608465608465608
"137",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,0,7,0.675485008818342
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,0,7,0.638447971781305
"139",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,14.3,0.758377425044092
"140",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,9.9,0.770723104056437
"141",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,9,0.647266313932981
"142",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,7.2,0.698412698412698
"143",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,4.7,0.756613756613757
"144",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,5,0.754850088183421
"145",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,13.9,0.610229276895944
"146",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,7.3,0.701940035273369
"147",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,6.4,0.564373897707231
"148",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,7.5,0.604938271604938
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,7.1,0.694885361552028
"150",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,7.7,0.793650793650794
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,6.3,0.691358024691358
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,12.7,0.728395061728395
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,6.9,0.758377425044092
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,12.9,0.779541446208113
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,9.9,0.664902998236332
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,6.8,0.724867724867725
"157",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,7.3,0.728395061728395
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,5.8,0.698412698412698
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,4.7,0.747795414462081
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,4.8,0.686067019400353
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,6,0.696649029982363
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,4.1,0.671957671957672
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,6,0.712522045855379
"164",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,8,0.770723104056437
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,9.2,0.708994708994709
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,11,0.693121693121693
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,11.6,0.682539682539683
"168",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,9.3,0.705467372134039
"169",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,6.9,0.746031746031746
"170",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,5.9,0.680776014109347
"171",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,7.5,0.705467372134039
"172",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,9.9,0.721340388007055
"173",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,10.7,0.776014109347443
"174",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,11.2,0.708994708994709
"175",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,6.4,0.774250440917108
"176",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,4.6,0.698412698412698
"177",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,5.3,0.761904761904762
"178",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,8.1,0.710758377425044
"179",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,8.6,0.684303350970018
"180",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,0,6.7,0.684303350970018
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,0,10,0.712522045855379
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,0,6.7,0.761904761904762
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,0,3.9,0.657848324514991
"184",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,0,6,0.71957671957672
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,0,3.8,0.677248677248677
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,0,3.3,0.668430335097002
