,day,temp,total_num_of_crimes
1531,4,74.2,0.825726141
2162,6,45.8,0.57319224
189,1,37.1,0.777777778
810,2,64,0.708910891
1844,2,56.1,0.636684303
1220,3,73.4,0.71957672
1828,2,67.1,0.863095238
1348,6,78.4,0.755952381
1988,5,25.2,0.499118166
1234,1,79.6,0.78968254
494,1,26.3,0.601410935
988,2,77.2,0.755952381
814,1,57.1,0.759920635
606,3,48.5,0.76039604
1662,4,66.2,0.592079208
864,4,71.8,0.805940594
1183,2,77.6,0.744813278
1450,2,78.9,0.698412698
295,3,38.2,0.596119929
932,4,64.9,0.698412698
488,7,27.3,0.537918871
1975,1,45.5,0.680497925
1174,5,72.6,0.734126984
1684,6,54.1,0.650793651
2136,6,31.3,0.63960396
1853,7,51.5,0.632380952
975,5,65.9,0.687179487
982,1,71.1,0.742063492
1268,4,73,0.69664903
119,6,39.7,0.651485149
915,2,58,0.608547009
1498,3,85.1,0.654761905
94,1,34.3,0.573333333
748,4,49.5,0.615079365
1233,6,80.8,0.64957265
706,4,47.7,0.712301587
1671,2,60.8,0.627350427
899,2,66,0.739047619
8,5,28.4,0.538461538
1087,7,78.4,0.713692946
1047,3,72.3,0.594871795
892,7,74.9,0.751984127
1557,4,75,0.593162393
1230,2,75.7,0.752475248
1631,5,64.3,0.687619048
1017,5,63.1,0.625641026
1331,4,75.6,0.67047619
1100,4,64.7,0.746031746
928,6,72.1,0.71031746
1102,7,70.4,0.75
2156,5,43.3,0.520282187
1082,1,80.4,0.682539683
1319,2,70.4,0.706666667
1739,2,57.4,0.632380952
1623,1,72.4,0.611965812
173,1,28.4,0.617821782
1081,6,80.4,0.834024896
1253,5,74.2,0.737142857
753,3,60.1,0.579487179
1138,6,74.5,0.674603175
495,2,32.4,0.548717949
1372,3,79.1,0.833333333
1517,7,62.5,0.643809524
310,2,59.7,0.632380952
353,3,51.8,0.60990099
1063,3,79.3,0.809128631
1747,5,49.2,0.67219917
729,6,64.9,0.521367521
1408,2,73.6,0.712301587
854,5,60.1,0.670194004
132,2,20.3,0.649377593
1189,3,81.6,0.757261411
594,1,34.5,0.641584158
552,1,33.1,0.625742574
1133,6,71.5,0.693333333
1453,5,70.8,0.680497925
1755,2,65,0.618803419
357,7,22,0.593162393
1666,3,72.2,0.714285714
569,3,44.9,0.603809524
1214,2,81.1,0.716049383
115,1,34,0.559082892
2187,4,28.5,0.51965812
367,6,30.8,0.645228216
1059,5,66.3,0.594871795
1544,1,58.4,0.636684303
1012,6,76.3,0.636904762
887,7,67,0.643809524
1197,7,82.1,0.608547009
398,6,32.9,0.566137566
957,2,72,0.637606838
616,3,44.7,0.658730159
897,6,66,0.565811966
1357,3,73.8,0.748962656
1304,3,72.9,0.670194004
454,4,50,0.64484127
795,3,49.6,0.591452991
489,1,31.4,0.487179487
992,7,75.1,0.728395062
