"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","wdsp","temp","total_num_of_crimes"
"112",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,11.7,50.9,0.758377425044092
"113",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,11.5,53.1,0.689594356261023
"114",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,9.3,63.8,0.656084656084656
"115",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,10.3,75.5,0.641975308641975
"116",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,14.9,72.5,0.740740740740741
"117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,6.6,64.2,0.613756613756614
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,7.7,71.2,0.652557319223986
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,11.2,73.6,0.701940035273369
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,10.4,67.2,0.64021164021164
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,8.9,54.7,0.677248677248677
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,13.1,47.6,0.597883597883598
"123",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,8.9,42.9,0.712522045855379
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,6.7,49.7,0.700176366843034
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,7.7,58.1,0.721340388007055
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,9.7,62.7,0.693121693121693
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,10.6,73.3,0.6331569664903
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,6.9,77.4,0.64373897707231
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014,8.3,67.1,0.687830687830688
"130",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2014,4.8,60.1,0.670194003527337
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2014,4.1,61.2,0.64021164021164
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014,3.5,68,0.634920634920635
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2014,6.3,76.5,0.619047619047619
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2014,8.3,76,0.631393298059965
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2014,7.2,66.1,0.634920634920635
