,day,sndp,total_num_of_crimes
1129,7,0,0.744813278
460,5,0,0.700396825
790,4,0,0.650793651
1223,7,0,0.739047619
765,5,0,0.652991453
59,3,1.2,0.671287129
1793,4,0,0.68952381
644,5,0,0.661375661
1874,7,0,0.523809524
399,7,1.2,0.488888889
1390,6,0,0.763888889
331,2,0,0.546737213
1754,1,0,0.659611993
1905,6,0,0.555555556
1045,7,0,0.738589212
682,7,0,0.662698413
768,2,0,0.728712871
981,6,0,0.646153846
1514,3,0,0.647266314
1314,2,0,0.699009901
1111,4,0,0.728215768
1398,2,0,0.691089109
1957,5,0,0.665975104
1635,3,0,0.572649573
1028,6,0,0.698412698
405,1,1.2,0.6
1368,4,0,0.758415842
1543,6,0,0.757261411
2131,6,0,0.663900415
1201,5,0,0.786307054
635,7,0,0.626666667
685,3,0,0.690871369
259,4,7.1,0.507936508
946,2,0,0.660714286
140,6,0,0.565811966
1965,2,1.2,0.524786325
2141,6,0,0.634285714
270,4,1.2,0.753112033
1951,4,0,0.680497925
295,3,3.9,0.596119929
1734,2,0,0.603960396
1387,1,0,0.81120332
1766,3,0,0.590828924
268,2,0,0.651428571
621,2,0,0.658119658
48,2,0,0.682572614
1350,1,0,0.78019802
487,5,0,0.678423237
1933,1,0,0.676348548
1303,1,0,0.769709544
345,6,0,0.583333333
1071,7,0,0.545299145
1790,7,0,0.626102293
1822,1,0,0.833333333
1114,2,0,0.892857143
2123,3,0,0.681904762
299,1,0,0.617821782
791,5,0,0.79047619
1411,5,0,0.713692946
1289,4,0,0.84952381
1717,7,0,0.628630705
1916,7,0,0.552028219
535,6,0,0.645228216
1069,4,0,0.784232365
2067,5,0,0.564102564
702,5,0,0.720792079
687,6,0,0.567521368
1985,1,0,0.662857143
1258,5,0,0.724206349
1031,3,0,0.72952381
1786,2,0,0.694444444
650,6,0,0.590828924
2102,3,0,0.620811287
1774,7,0,0.700396825
1612,1,0,0.724206349
1269,5,0,0.668376068
691,4,0,0.721991701
1969,7,0,0.701244813
1573,4,0,0.819502075
1364,6,0,0.643738977
1225,2,0,0.796680498
569,3,0,0.603809524
838,5,0,0.753968254
1406,6,0,0.707231041
1117,5,0,0.877593361
1889,6,0,0.607619048
1489,4,0,0.649377593
2025,5,0,0.558974359
1091,6,0,0.80952381
1415,4,0,0.71047619
266,6,3.1,0.47008547
1911,7,0,0.555555556
1586,1,0,0.686067019
1479,5,0,0.64957265
525,7,0,0.478632479
1409,3,0,0.691428571
895,3,0,0.755186722
205,2,3.9,0.520282187
649,4,0,0.661825726
926,3,0,0.647266314
1564,7,0,0.670634921
326,2,3.1,0.557264957
1817,1,0,0.634285714
1382,2,0,0.64021164
1469,6,0,0.67047619
1994,6,0,0.574955908
1456,3,0,0.738095238
1622,7,0,0.694885362
417,3,0,0.584615385
939,6,0,0.564102564
1500,5,0,0.665346535
1577,3,0,0.761904762
192,5,7.1,0.773858921
1035,1,0,0.646153846
628,5,0,0.718253968
884,3,0,0.634920635
1981,2,0,0.695020747
2048,1,0,0.599647266
603,6,0,0.601709402
343,4,0,0.546737213
339,5,0,0.674603175
1040,1,0,0.686067019
1589,5,0,0.712380952
2047,6,0,0.630705394
1075,5,0,0.798755187
954,5,0,0.693069307
2052,6,0,0.611881188
561,6,0,0.582905983
1341,3,0,0.635897436
1083,2,0,0.576068376
279,2,1.2,0.569444444
1294,4,0,0.765873016
1555,1,0,0.817427386
1181,7,0,0.68952381
1055,7,0,0.68952381
631,1,1.2,0.686721992
496,4,0,0.656746032
1684,6,0,0.650793651
756,7,0,0.631683168
5,1,2,0.83960396
1608,2,0,0.627722772
1096,6,0,0.688492063
1185,5,0,0.630769231
1530,3,0,0.647524752
828,5,0,0.695049505
73,1,1.2,0.659611993
453,2,0,0.565811966
1248,5,0,0.764356436
477,6,0,0.521367521
1603,2,0,0.721991701
1022,5,0,0.728395062
24,5,0,0.70746888
422,3,3.1,0.541446208
1646,4,0,0.687830688
1417,6,0,0.7593361
190,3,0,0.773333333
1716,6,0,0.63960396
857,2,0,0.674285714
1422,6,0,0.76039604
1165,6,0,0.834024896
286,5,0,0.76
367,6,0,0.645228216
1257,3,0,0.601709402
1149,6,0,0.618803419
1389,4,0,0.635897436
1756,4,0,0.686507937
664,4,0,0.642857143
1169,5,0,0.731428571
694,2,0,0.636904762
718,6,0,0.571428571
387,5,3.9,0.558974359
1439,1,0,0.6
1123,6,0,0.821576763
1863,6,0,0.55042735
929,7,0,0.699047619
1222,6,0,0.748015873
1527,6,0,0.541880342
1815,5,0,0.622222222
1886,2,0,0.532627866
1739,2,0,0.632380952
520,1,0,0.783730159
619,6,0,0.657676349
2088,5,0,0.689108911
435,6,0,0.582905983
817,4,0,0.751037344
945,7,0,0.547008547
1810,6,0,0.819444444
369,2,3.9,0.535042735
1094,3,0,0.705467372
770,5,0,0.740740741
2044,3,0,0.626984127
951,1,0,0.560683761
2012,2,0,0.564373898
784,3,0,0.759920635
1187,1,0,0.796190476
1511,6,0,0.60952381
255,5,0,0.573412698
928,6,0,0.71031746
919,7,0,0.738589212
1787,3,0,0.64
617,4,0,0.615238095
1097,7,0,0.683809524
1494,4,0,0.689108911
42,1,0,0.639004149
414,6,0,0.594059406
