,day,wdsp,sndp,total_num_of_crimes
2127,1,12.8,0,0.543589744
892,7,10.7,0,0.751984127
636,1,13.2,0,0.669306931
124,6,7.1,0,0.64952381
214,7,10.2,0,0.577142857
263,2,5.7,11,0.615841584
242,2,7.1,3.9,0.524786325
973,2,6.8,0,0.796680498
1411,5,10.1,0,0.713692946
873,2,10.9,0,0.625641026
2019,4,8.4,0,0.574358974
1176,7,4.7,0,0.702970297
744,5,14.7,0,0.772277228
1840,4,5.3,0,0.716269841
464,3,9.7,0,0.682539683
1766,3,5.8,0,0.590828924
865,5,7.1,0,0.838174274
617,4,8.3,0,0.615238095
2007,2,9.6,0,0.608547009
45,5,5.8,1.2,0.704365079
525,7,12.4,0,0.478632479
1960,3,8.5,0,0.615079365
760,6,12.2,0,0.682539683
751,7,4.9,0,0.738589212
904,2,7.9,0,0.708333333
289,2,10.2,5.9,0.527336861
1529,2,7.2,0,0.651428571
624,6,16.9,0,0.586138614
1222,6,4.5,0,0.748015873
1741,4,5.3,0,0.67219917
1528,1,7.4,0,0.767857143
1301,6,7.2,0,0.84
398,6,10.4,0,0.566137566
309,7,9.3,0,0.589285714
1066,1,8.8,0,0.746031746
669,3,12.7,0,0.51965812
1519,2,10,0,0.701244813
1085,5,6,0,0.685714286
2043,1,4.4,0,0.591452991
1516,6,7.8,0,0.662698413
1744,2,14.2,0,0.746031746
2018,3,10.4,0,0.627865961
1110,3,6.9,0,0.740594059
441,7,6.7,0,0.632478632
1750,3,3.5,0,0.696428571
1683,4,7.7,0,0.502564103
1836,5,8.9,0,0.734653465
487,5,10.4,0,0.678423237
1120,3,7.6,0,0.702380952
1001,5,9.4,0,0.712380952
228,4,8.6,0,0.695020747
1485,6,6.2,0,0.572649573
71,5,16.8,0,0.63960396
1564,7,3.6,0,0.670634921
992,7,12.7,0,0.728395062
1728,1,10.5,0,0.627722772
1962,5,10.1,0,0.673267327
860,6,4.1,0,0.64021164
1061,1,10.5,0,0.68952381
269,3,7.4,5.9,0.588118812
1705,5,11.1,0,0.680497925
1860,2,12.8,0,0.738613861
1600,6,9.3,0,0.775793651
1312,7,5.1,0,0.773809524
851,1,12.1,0,0.718095238
220,1,6.1,0,0.708571429
626,2,10.3,1.2,0.597883598
403,5,5.2,0,0.670124481
1946,5,6.9,0,0.610229277
137,2,10.1,0,0.673267327
164,3,6.8,0,0.502564103
1419,2,8.6,0,0.656410256
614,7,11.2,0,0.590828924
1210,4,7.8,0,0.724206349
1501,6,7.6,0,0.730290456
1875,1,3.4,0,0.564102564
1838,1,12.4,0,0.668430335
1094,3,9.3,0,0.705467372
1747,5,4.8,0,0.67219917
165,4,13.4,0,0.678571429
517,3,7.8,0,0.668049793
572,7,6.4,0,0.574955908
531,1,9,0,0.611965812
1742,6,9.3,0,0.670194004
365,4,10,0,0.540952381
2087,4,10.7,0,0.622857143
911,4,5.3,0,0.817142857
1221,4,4.1,0,0.676923077
1926,6,5.8,0,0.586138614
1098,1,6.4,0,0.835643564
1466,2,6.8,0,0.677248677
1146,2,8.5,0,0.758415842
629,6,13.8,0,0.704761905
1802,2,13.7,0,0.675485009
837,3,9.1,0,0.635897436
1188,2,7.3,0,0.685148515
1913,3,10.6,0,0.636190476
409,6,10.5,0,0.630705394
513,5,12.1,1.2,0.601709402
789,2,15.3,0,0.620512821
2162,6,11.8,0,0.57319224
1783,4,5.9,0,0.717842324
564,3,14.6,0,0.63960396
2122,2,14.1,3.1,0.603174603
359,3,10.5,0,0.664761905
1172,2,10,0,0.712522046
1797,2,9.6,0,0.552136752
2028,2,8.4,0,0.687128713
803,7,6.2,0,0.668571429
1119,1,8.5,0,0.594871795
1649,1,9,0,0.6
1571,2,5.7,0,0.651428571
2060,3,9,0,0.649029982
258,2,11.1,1.2,0.697095436
151,7,10.4,3.9,0.500881834
1831,5,8.8,2,0.798755187
1708,3,10,0,0.674603175
1585,6,9,0,0.7406639
1385,6,6,0,0.767619048
1604,4,3.3,0,0.634920635
1551,3,8.6,0,0.629059829
130,7,4.5,0,0.655238095
2010,6,11.6,1.2,0.722772277
576,5,10.5,0,0.631683168
1008,7,9.3,0,0.742574257
663,2,16.2,0,0.547008547
2129,4,7.5,0,0.636190476
475,3,7.7,0,0.653526971
2042,7,7.3,0,0.537918871
956,1,7.3,0,0.701940035
868,3,9.4,0,0.746031746
1765,1,12.3,0,0.699170124
1722,7,5.3,0,0.588118812
136,1,9.6,0,0.691428571
134,5,10.2,0,0.675213675
694,2,11.8,0,0.636904762
1752,5,9.7,0,0.712871287
1533,7,6.8,0,0.615384615
199,1,3.5,3.9,0.557319224
1530,3,5.4,0,0.647524752
92,5,6,3.1,0.581196581
942,3,7.1,0,0.752475248
840,7,9.1,0,0.697029703
698,7,13.8,0,0.562610229
450,5,11.4,0,0.64950495
322,4,11.5,0,0.603809524
863,3,9.6,0,0.681904762
1984,7,8.1,0,0.615079365
645,6,7.4,0,0.576068376
173,1,13.2,0,0.617821782
934,7,9.9,0,0.712301587
2032,1,8.1,2,0.678571429
1039,6,8.3,0,0.790456432
1458,5,5.9,0,0.720792079
551,7,6.2,0,0.580952381
1965,2,4,1.2,0.524786325
1278,3,5.8,0,0.869306931
1572,3,8.7,0,0.726732673
1216,5,7.7,0,0.75
119,6,10.4,0,0.651485149
506,3,7.7,0,0.608465608
2004,5,3.4,1.2,0.689108911
1555,1,5.1,0,0.817427386
1734,2,10,0,0.603960396
529,5,7,0,0.624481328
890,4,8.5,0,0.608465608
1663,5,9.6,0,0.682572614
515,1,7.4,0,0.697142857
497,5,12.9,0,0.712380952
1384,5,7.2,0,0.704365079
856,1,5.7,0,0.753968254
846,1,5.8,0,0.702970297
842,3,6.9,0,0.643738977
1295,5,12.4,0,0.887619048
787,6,6.1,0,0.661825726
2053,7,10.1,0,0.622406639
1936,6,17.7,0,0.589285714
1173,3,10,0,0.632478632
1828,2,9.5,0,0.863095238
1619,3,10.1,0,0.659047619
917,5,5.4,0,0.779047619
1595,6,5.3,0,0.733333333
477,6,11.4,0,0.521367521
429,5,6.3,0,0.663247863
1359,6,6.2,0,0.617094017
2003,4,8.8,0,0.662857143
701,4,12.2,0,0.647619048
1217,6,8.7,0,0.681904762
530,7,5.8,0,0.624338624
2114,5,4.1,0,0.67372134
1778,5,5.1,0,0.693121693
1232,5,7.6,0,0.765432099
1537,5,10.7,0,0.757261411
184,2,13.6,0,0.624761905
686,5,11,0,0.701940035
1710,5,6.9,0,0.592079208
871,6,10.2,0,0.794605809
480,3,13,0,0.60990099
496,4,9.4,0,0.656746032
2103,4,14.7,0,0.588034188
1884,6,12.5,0,0.6
1931,6,12.2,0,0.611428571
1444,1,6.2,0,0.831349206
1143,5,4.3,0,0.579487179
1041,2,9,0,0.601709402
1525,3,7.9,0,0.746887967
352,2,11.4,0,0.571428571
631,1,7.8,1.2,0.686721992
