,day,wdsp,sndp,total_num_of_crimes
1044,6,5.4,0,0.708910891
2124,4,6.4,0,0.675247525
1556,3,4.2,0,0.714285714
1311,5,7.5,0,0.700854701
932,4,7.2,0,0.698412698
595,2,9.8,0,0.649377593
977,1,11.8,0,0.64952381
279,2,3.6,1.2,0.569444444
1180,6,6.4,0,0.744047619
519,6,6.2,0,0.533333333
605,2,7.8,0,0.67047619
620,1,14.9,0,0.566137566
5,1,9.2,2,0.83960396
424,6,4.3,0,0.632936508
331,2,8.7,0,0.546737213
80,3,5.3,3.1,0.543589744
1689,5,10.9,0,0.6
2109,5,11,0,0.51965812
1370,7,6.9,0,0.633156966
1719,3,6.6,0,0.641025641
2158,1,14.4,0,0.579365079
152,1,7.3,1.2,0.572649573
596,4,11.8,0,0.682539683
1591,7,10.1,0,0.641078838
1676,2,9.8,0,0.627865961
367,6,6.5,0,0.645228216
882,7,4.1,0,0.84950495
1865,2,10.3,0,0.588571429
1900,7,8.9,0,0.571428571
1517,7,6.9,0,0.643809524
943,4,5.5,0,0.697095436
1652,5,12,0,0.590828924
181,5,6.4,2,0.589065256
472,7,9.4,0,0.617063492
1040,1,4.8,0,0.686067019
1693,3,7.5,0,0.728215768
723,5,5.5,0,0.765811966
516,2,10.4,0,0.64950495
1095,4,9.3,0,0.6
1415,4,7.5,0,0.71047619
1832,7,6,0,0.615520282
76,5,8.8,0,0.681904762
806,4,13.1,0,0.597883598
1462,4,10.7,0,0.886904762
1915,5,6,1.2,0.717842324
1558,6,8.8,0,0.755952381
1294,4,5.6,0,0.765873016
2107,2,10.2,0,0.653526971
166,6,11.8,0,0.68952381
1473,4,7.5,0,0.743589744
1224,1,8.8,0,0.81980198
1377,2,7.1,0,0.678632479
1307,7,6.1,0,0.773333333
987,7,7.2,0,0.68034188
972,1,8.7,0,0.736633663
543,3,8.5,0,0.753846154
250,6,6.8,0,0.584761905
1837,6,10.3,0,0.670124481
2056,5,9.4,0,0.593253968
762,1,5.9,0,0.772277228
