,day,prcp,total_num_of_crimes
1440,2,0,0.76039604
884,3,1.18,0.634920635
1164,5,0,0.76039604
1457,4,0,0.615238095
819,7,0,0.711111111
534,5,0,0.647524752
605,2,0.52,0.67047619
1684,6,0,0.650793651
1838,1,0,0.668430335
1664,7,0.05,0.576719577
61,6,0.93,0.527336861
1532,6,0.1,0.566137566
1024,1,0,0.841269841
1270,7,0,0.71031746
678,1,0,0.63960396
369,2,0.04,0.535042735
345,6,0,0.583333333
750,6,0,0.774257426
298,7,0,0.64
1308,1,0.07,0.762376238
2011,7,0.16,0.686721992
1928,2,0,0.552028219
1247,4,0.07,0.681904762
2009,5,0,0.792380952
768,2,0,0.728712871
2056,5,0,0.593253968
2076,3,0,0.724752475
1019,1,0,0.678095238
59,3,0,0.671287129
96,3,0,0.678423237
2094,6,0.14,0.679207921
1674,6,1.26,0.637623762
949,5,0,0.831950207
1877,4,0,0.582857143
1124,1,0.48,0.776014109
1163,4,0.7,0.693333333
2187,4,0,0.51965812
412,4,0,0.623015873
264,3,0.01,0.639004149
468,1,0,0.625742574
1044,6,0.73,0.708910891
975,5,0.28,0.687179487
1582,3,0,0.688492063
1601,7,0,0.662857143
562,1,0,0.623015873
1671,2,0,0.627350427
997,6,0.04,0.7406639
891,5,0,0.682051282
1432,6,0.65,0.797619048
1235,2,0,0.725714286
700,3,0,0.648809524
1474,6,0,0.706349206
850,7,0,0.668650794
1490,6,0.43,0.647266314
341,1,0.03,0.637623762
2095,7,0,0.678423237
118,5,0.86,0.693333333
1206,5,0.01,0.734653465
310,2,0.08,0.632380952
609,7,0,0.611965812
1192,1,0.78,0.732142857
1093,1,0.26,0.919087137
948,4,0.04,0.78019802
471,5,0,0.629059829
677,7,0,0.647619048
30,6,0,0.7406639
1731,5,0,0.523076923
904,2,0,0.708333333
1312,7,0,0.773809524
543,3,0,0.753846154
1824,3,0.81,0.869306931
1419,2,0,0.656410256
2005,6,0.02,0.622406639
1062,2,0,0.762376238
323,5,0.14,0.635643564
1613,2,0,0.695238095
974,4,0.03,0.694885362
1917,1,0,0.613675214
141,7,0,0.623015873
1769,7,0,0.628571429
2146,6,0.05,0.577380952
1334,1,1.16,0.701940035
1059,5,0.02,0.594871795
2131,6,0,0.663900415
1954,2,0,0.648809524
110,1,0,0.570940171
1121,4,0,0.653333333
1338,6,0,0.796039604
1392,1,0,0.691089109
1450,2,0,0.698412698
1079,4,0.24,0.681904762
1046,2,0.13,0.69664903
1964,1,0.72,0.532627866
855,6,0,0.647863248
1238,6,0,0.680776014
2136,6,0.04,0.63960396
1177,1,0,0.771784232
924,7,0.54,0.78019802
1594,5,0,0.712301587
1562,4,0,0.735449735
1625,4,0,0.666666667
1581,1,0,0.582905983
2128,3,0,0.668650794
71,5,0.14,0.63960396
393,6,0,0.557264957
417,3,0,0.584615385
1503,2,0,0.567521368
1757,5,0,0.706666667
1060,7,0,0.678571429
1049,6,0.01,0.702857143
876,6,0.13,0.851485149
791,5,0,0.79047619
1066,1,0.2,0.746031746
1565,1,0,0.699047619
1765,1,0,0.699170124
53,2,0,0.633663366
1865,2,0,0.588571429
404,7,0.01,0.507936508
85,3,0,0.619047619
1436,4,0,0.670194004
116,2,0,0.608547009
1174,5,0,0.734126984
580,4,0.38,0.748015873
1195,4,0.28,0.860995851
820,2,0,0.698412698
1273,3,0,0.709543568
1431,4,0,0.630769231
1085,5,0.21,0.685714286
94,1,0,0.573333333
671,6,0,0.617142857
452,1,0,0.615520282
1297,7,0,0.813278008
770,5,0.84,0.740740741
833,5,0.01,0.678095238
426,1,0,0.601980198
966,7,0.29,0.64950495
1650,2,1.39,0.625742574
1720,5,0,0.801587302
409,6,0,0.630705394
830,1,0,0.693121693
512,4,0.04,0.597883598
1114,2,0,0.892857143
898,1,0,0.751984127
2099,6,0,0.714285714
1524,2,0,0.663366337
308,6,0,0.512820513
1937,7,0.57,0.601904762
50,5,0.05,0.488888889
275,4,0,0.625742574
2075,2,0.03,0.603809524
2029,3,0,0.709543568
1907,2,0,0.643809524
1145,1,0.17,0.697142857
1792,3,0.23,0.617063492
1995,7,0,0.487179487
1209,2,0,0.639316239
2047,6,0,0.630705394
1463,5,0,0.765714286
133,4,0,0.541446208
1395,5,0,0.71965812
52,1,0,0.56952381
720,1,0,0.774257426
455,5,0.03,0.613333333
1643,7,0,0.727619048
1320,3,0.63,0.706930693
628,5,0,0.718253968
1941,5,0,0.576068376
670,5,0.02,0.712301587
1834,3,0,0.672619048
1571,2,0.16,0.651428571
206,3,0.05,0.48034188
1020,2,0.08,0.716831683
45,5,0,0.704365079
789,2,0.14,0.620512821
1251,2,0,0.673504274
1412,7,0.5,0.634920635
919,7,0.03,0.738589212
93,6,0.02,0.575396825
139,5,0,0.525573192
1867,4,0,0.639004149
1522,7,0.03,0.660714286
1221,4,0,0.676923077
388,7,0,0.573412698
1575,7,0.04,0.608547009
2108,4,0,0.580246914
1646,4,0,0.687830688
140,6,0,0.565811966
1266,1,0,0.734653465
1853,7,0.44,0.632380952
1970,2,0.25,0.541446208
1075,5,0,0.798755187
1233,6,0,0.64957265
1185,5,0.52,0.630769231
519,6,0,0.533333333
1787,3,0.43,0.64
1777,3,0.05,0.68879668
303,6,0,0.567460317
2190,1,0,0.641584158
213,5,0,0.609126984
2039,3,0,0.615238095
458,2,0,0.703703704
329,6,0,0.594059406
1569,6,1.7,0.622222222
1756,4,0,0.686507937
1829,3,0,0.727619048
450,5,0,0.64950495
1798,4,0.63,0.646825397
674,3,0,0.633156966
1470,7,0.04,0.742574257
1886,2,0,0.532627866
1708,3,0.01,0.674603175
365,4,0.05,0.540952381
733,4,0.04,0.717842324
1130,2,0.48,0.708994709
451,6,0,0.659751037
1263,4,0,0.656410256
1061,1,0,0.68952381
242,2,0,0.524786325
1604,4,0,0.634920635
292,6,0,0.64
882,7,0,0.84950495
1257,3,0.07,0.601709402
1567,3,0,0.668049793
810,2,0.92,0.708910891
741,1,0.2,0.625641026
859,4,0.02,0.825726141
1519,2,0.01,0.701244813
918,6,0,0.736633663
1988,5,0,0.499118166
996,5,0,0.754455446
402,4,0.01,0.592079208
2037,7,0,0.538461538
149,4,0,0.657425743
1820,5,0,0.716049383
132,2,0,0.649377593
492,5,0,0.702970297
1253,5,0,0.737142857
1767,4,0,0.618803419
465,4,0,0.58974359
1476,1,0.01,0.748514851
152,1,0.06,0.572649573
1842,6,0,0.687128713
831,2,0,0.61025641
637,2,0,0.647302905
121,2,0,0.502645503
1027,4,0.5,0.709543568
1346,3,0.01,0.733686067
305,2,1.94,0.598019802
596,4,0,0.682539683
906,4,0.22,0.833663366
928,6,0,0.71031746
1529,2,0,0.651428571
811,3,0,0.778008299
2088,5,0.36,0.689108911
848,4,0.01,0.687830688
1188,2,0.17,0.685148515
1960,3,0.1,0.615079365
1452,4,0.02,0.786138614
1475,7,0.26,0.657142857
863,3,0.7,0.681904762
1316,5,0,0.62962963
651,7,0,0.562393162
1357,3,0.23,0.748962656
1679,6,0.19,0.603809524
987,7,1.44,0.68034188
1516,6,0.02,0.662698413
1140,1,0,0.752475248
299,1,0,0.617821782
1398,2,0.29,0.691089109
1944,2,0,0.655445545
2127,1,0.03,0.543589744
422,3,0.5,0.541446208
1683,4,0,0.502564103
1703,3,0.99,0.582857143
1184,4,0,0.657848325
1199,3,0,0.704761905
2077,4,0,0.641078838
130,7,0,0.655238095
1818,2,0,0.691089109
2125,5,0,0.643153527
1525,3,0,0.746887967
1393,2,0,0.686721992
1283,3,0,0.695238095
1405,4,0,0.699170124
1212,6,0.52,0.693069307
97,5,0,0.636684303
584,2,0.02,0.654320988
2164,2,0.02,0.593253968
224,6,0,0.502564103
284,2,0,0.509401709
1848,7,0.1,0.59009901
483,7,0,0.538461538
792,6,0.02,0.588118812
2093,5,0,0.643809524
1678,5,0.7,0.771825397
2134,4,0,0.609126984
1165,6,0,0.834024896
2018,3,0,0.627865961
911,4,0,0.817142857
1872,4,0,0.598019802
1364,6,0,0.643738977
680,4,0.03,0.617283951
1478,4,0,0.613756614
2046,5,0,0.62970297
1058,4,0.02,0.712522046
944,6,0,0.754850088
2021,7,0,0.596190476
577,6,0,0.726141079
1302,7,0,0.794059406
368,1,0.01,0.509700176
758,3,0,0.656084656
441,7,0,0.632478632
760,6,0,0.682539683
478,1,0,0.638888889
1979,7,0,0.592380952
2120,6,0,0.62962963
807,5,0.16,0.707692308
2053,7,0,0.622406639
411,2,0,0.644444444
131,1,0.4,0.665346535
1264,6,0.33,0.884920635
1660,2,0,0.652777778
2001,1,0,0.569230769
1173,3,0,0.632478632
748,4,0,0.615079365
1271,1,0,0.761904762
285,3,0.03,0.581349206
1193,2,0,0.702857143
934,7,0.03,0.712301587
1510,5,0.01,0.71031746
1299,3,0,0.618803419
1864,1,0,0.680555556
1111,4,0.01,0.728215768
557,1,0,0.620952381
1858,7,0,0.66468254
1541,4,0.07,0.632380952
1768,6,0,0.64484127
1676,2,0,0.627865961
1039,6,0,0.790456432
889,2,1.28,0.763485477
1441,3,0,0.709543568
836,2,0,0.633156966
1793,4,0,0.68952381
994,3,0,0.738095238
1926,6,0,0.586138614
943,4,0.01,0.697095436
1912,2,0,0.628968254
2129,4,0,0.636190476
1335,2,0.25,0.629059829
